"Year","Volume_an_surf","Temp_an_surf","Sal_an_surf","Temp_win_surf","DIN_win_surf","DIP_win_surf","totN_an_surf","totP_an_surf","Temp_sum_surf","Chla_sum_surf","Secchi_sum","DOC_sum_surf","DOCter_sum_surf","Volume_an_tot","Temp_an_tot","Sal_an_tot","DIN_an_tot","DIP_an_tot","totN_an_tot","totP_an_tot","DOC_an_tot","DOCter_an_tot","PP_an","Nfix_an"
1970,67486874750,7.53629257166667,18.05329225,1.30671486,5.67761356428571,0.485451274193548,19.2094423989389,0.72732654399836,13.80595375,2.25779149106767,6.45084864010036,3419.04839925,2001.15841425,109403667500,7.65590028333333,19.9714496666667,5.67761356428571,0.485451274193548,19.6748827148995,0.845538642855197,3419.04839925,2001.15841425,181.553978294293,1.57474826250271
1971,67486845000,8.78257064833334,17.3430698333333,1.64822335,8.42773862857143,0.741803951612903,18.384962016153,0.684268620027256,15.7653665,1.78291636384615,6.89392007079371,3348.5681255,2196.7573705,109403596666.667,8.17945129,19.7510666666667,8.42773862857143,0.741803951612903,19.1466426666328,0.851406528373392,3348.5681255,2196.7573705,163.174816056334,2.08441793903054
1972,67486838000,6.9601491525,18.7376759166667,3.2496677,8.53460345357143,0.840026596774194,17.9833007658368,0.732867023575146,12.496275475,2.01291596725375,7.02752492093615,3018.9742265,1939.3955165,109403580000,7.10624221166667,20.6795561666667,8.53460345357143,0.840026596774194,18.6586812787518,0.867436645158965,3018.9742265,1939.3955165,143.75354938051,1.40663239582882
1973,67486838000,7.64101255916666,18.0465834166667,1.5677189,9.29415675357143,0.877917741935484,19.1740025380588,0.779497370190361,15.428665,2.81919264828776,5.67770803271418,3776.1437605,2043.4159755,109403580000,7.62025213333333,20.0326329166667,9.29415675357143,0.877917741935484,20.0541888817111,0.930182072788793,3776.1437605,2043.4159755,249.363681118923,2.49313501106152
1974,67486838000,7.46406085666667,18.8798625,0.49509004,8.70516363928571,0.747124838709677,18.7531128109887,0.718292748867727,13.84372225,2.39699155048687,6.3423918999587,3399.2140515,1837.6956615,109403580000,7.69007194166667,20.98850525,8.70516363928571,0.747124838709677,19.32143844259,0.846963167961746,3399.2140515,1837.6956615,203.895104866543,1.85475419692784
1975,67486835250,6.93464060083333,18.1968736666667,-0.333150495,9.20099131071428,0.759995161290323,17.9978319871631,0.654104112720201,14.01208615,1.68235824074197,7.12994082637293,3141.22867375,2039.03319125,109403570833.333,6.79128497083333,20.4898604166667,9.20099131071428,0.759995161290323,18.897446843909,0.821763545940993,3141.22867375,2039.03319125,144.871159839778,1.33095841338591
1976,67486835000,8.696553945,18.72873025,0.878785415,6.854662575,0.644553112903226,18.2810701474247,0.749564828158458,16.70517225,2.75961751943058,5.77848729358203,3742.29076075,1970.27036825,109403570000,8.53328798333333,20.9411038333333,6.854662575,0.644553112903226,19.1997052517182,0.922284048816686,3742.29076075,1970.27036825,262.077617444083,2.73521042058149
1977,67486835000,8.87415553666667,18.9131920833333,1.01727172,8.02599169285714,0.817997387096774,17.710796840771,0.708261820800683,14.781246,2.21991834730109,6.46608164275175,3378.196023,1904.096783,109403570000,8.31251299166667,20.755807,8.02599169285714,0.817997387096774,18.3397850889949,0.826010471377688,3378.196023,1904.096783,196.761578684966,1.92834972381779
1978,67486830916.6667,7.96517524,18.9781279166667,-0.285778585,8.44078495357143,0.677453274193549,19.2005100171167,0.774042667423252,16.338112,2.20960047550737,6.26218666153901,3624.05828375,1970.78903125,109403554166.667,7.65188563666667,21.3167839166667,8.44078495357143,0.677453274193549,20.2057953390779,0.973030429658426,3624.05828375,1970.78903125,218.807224284457,2.0356239199793
1979,67486828083.3333,6.89401703670667,17.95365875,-0.15999662,8.16115787142857,0.737848741935484,18.5934403611403,0.768152348272845,13.92881975,2.34884825523443,6.34005875565535,3469.41191425,2064.00827425,109403550000,6.88385280416667,20.0663603333333,8.16115787142857,0.737848741935484,19.3124834426166,0.91198602194161,3469.41191425,2064.00827425,192.843303991944,1.74428568013159
1980,67486828000,8.12296163833333,18.06226675,-0.1363428,9.07308861785714,0.784691209677419,19.0469886279346,0.715938887401312,15.628654,2.2421101290503,6.52278913118634,3347.90142,1975.64767,109403550000,7.80740626366667,20.1817213333333,9.07308861785714,0.784691209677419,19.7352897169764,0.862704487950091,3347.90142,1975.64767,186.139926385674,1.89340620805476
1981,67486828000,7.888252475,18.2767601666667,1.4564364,9.573741175,0.75975135483871,18.984692287823,0.698600425743505,15.04679925,2.06232372899247,6.5566263942183,3490.99642675,2116.05411425,109403550000,7.71940229166667,20.45160475,9.573741175,0.75975135483871,19.5554723805673,0.845588931803463,3490.99642675,2116.05411425,185.524194575881,1.45000081937665
1982,67486828000,8.57304496333333,18.9981175833333,1.72295678,9.25162168571429,0.699458419354839,19.6106958488503,0.772818482822765,15.442422,2.74281080154163,5.77478422992948,3731.04396775,1884.56492775,109403550000,8.5506475925,20.8275546666667,9.25162168571429,0.699458419354839,20.294017547807,0.912582968445309,3731.04396775,1884.56492775,258.689125160557,2.47475254065748
1983,67486828000,8.074511815,18.6191616666667,1.61200006,10.1468582821429,0.964277483870968,18.9389024190507,0.776928453224608,14.196584,2.19276158658727,6.54239092833519,3342.22543675,2013.93007675,109403550000,7.75180301,20.589018,10.1468582821429,0.964277483870968,19.8066554428185,0.926958689649094,3342.22543675,2013.93007675,175.241023730579,1.49185581745032
