"Year","Volume_an_surf","Temp_an_surf","Sal_an_surf","Temp_win_surf","DIN_win_surf","DIP_win_surf","totN_an_surf","totP_an_surf","Temp_sum_surf","Chla_sum_surf","Secchi_sum","DOC_sum_surf","DOCter_sum_surf","Volume_an_tot","Temp_an_tot","Sal_an_tot","DIN_an_tot","DIP_an_tot","totN_an_tot","totP_an_tot","DOC_an_tot","DOCter_an_tot","PP_an","Nfix_an"
1970,88804340000,8.41333700833333,13.0097084166667,2.03278105,4.66528683214286,0.448527274193548,18.7437344135427,0.573075091473151,14.92723075,1.8495724407927,5.69812658244499,3665.747244,2557.5125165,164802980000,8.31890985,14.92251875,4.66528683214286,0.448527274193548,19.2942986456996,0.718874320581725,3665.747244,2557.5125165,159.722860423609,1.6941975414771
1971,88804340000,7.9548900175,13.4381155,1.266426075,6.2198502,0.613507483870968,18.3779951221821,0.586994993613761,14.44334375,1.18858042654477,6.50347434227896,3454.600308,2493.143323,164802980000,7.55652872583333,15.2750719166667,6.2198502,0.613507483870968,19.0566696034923,0.734054932225731,3454.600308,2493.143323,120.243115994393,0.748322327349343
1972,88804340000,8.49722363333333,12.5872819166667,3.8057467,7.24691956428571,0.676500516129032,18.6911259180441,0.58337898279903,14.3669575,1.34071877812557,6.04211107787011,3662.811341,2640.767721,164802980000,8.284688375,14.34734525,7.24691956428571,0.676500516129032,19.6021618217122,0.759364026081001,3662.811341,2640.767721,131.598519444664,0.839115975506328
1973,88804335416.6667,7.57351534833333,13.2237731666667,0.65511255,6.48720937857143,0.625445806451613,18.2930411192219,0.564905689696345,14.46832675,1.4946042124202,6.09834422176093,3549.18420475,2486.41078975,164802961666.667,7.31028087166667,15.07295225,6.48720937857143,0.625445806451613,19.226157381954,0.730217020258032,3549.18420475,2486.41078975,138.622652143155,1.0715149898814
1974,88804335000,7.91195918416667,13.7513158333333,0.754672085,5.92482645714286,0.510858677419355,18.2379624497821,0.553389086184447,14.774614,1.52794284917192,6.17961690318516,3498.1430575,2478.9095375,164802960000,7.7784793375,15.6205179166667,5.92482645714286,0.510858677419355,18.9029317160866,0.712039179889609,3498.1430575,2478.9095375,134.973241641396,1.16000408885972
1975,88804335000,8.608156225,13.3595230833333,1.59398065,6.58803015357143,0.556124016129032,18.1613334597233,0.545737208858699,14.65310375,1.28571723950188,6.37504953784387,3464.80047775,2395.08689275,164802960000,8.5378272,15.749312,6.58803015357143,0.556124016129032,19.0306658754102,0.772244003880325,3464.80047775,2395.08689275,132.489477646643,0.711379799959951
1976,88804288250,8.354745505,14.0795108333333,1.30017828,5.88670191071429,0.656942548387097,17.7686991231444,0.576582129606579,14.21272375,1.70808463294506,6.12386789399322,3490.617348,2462.0333055,164802769166.667,8.24370805833333,15.8214285833333,5.88670191071429,0.656942548387097,18.2240179638341,0.714585631209515,3490.617348,2462.0333055,146.150561625789,1.40431483684498
1977,88804286000,9.27890546416667,12.4179665833333,0.368063885,5.66255968214286,0.522162193548387,18.0409216162199,0.508455178649781,15.77877775,1.3809988579166,6.30975521196572,3510.08042775,2539.83530775,164802760000,8.60891512833333,14.938533,5.66255968214286,0.522162193548387,18.9420266099266,0.719949786198308,3510.08042775,2539.83530775,127.918201825053,1.22356036678085
1978,88804286000,9.30819415833333,13.5031885,2.97959635,7.36154,0.635549129032258,18.2637460678914,0.555299875624677,15.312974,1.12032653476136,6.46501781368347,3507.08523475,2512.73950475,164802760000,9.07599274166667,15.6283628333333,7.36154,0.635549129032258,19.041004944328,0.739595603275667,3507.08523475,2512.73950475,135.36277168664,0.846841381974767
1979,88804286000,9.18459691,13.2911036666667,1.43440535,6.18459036071429,0.5537335,18.3014930097134,0.519941177973059,15.981219,1.37671513114016,6.23447407171123,3562.37704175,2495.79536925,164802760000,8.61482902333333,15.5394190833333,6.18459036071429,0.5537335,19.1500861263047,0.711027861344822,3562.37704175,2495.79536925,149.43617807913,1.21151323991001
1980,88804286000,9.24377681666667,13.1633968333333,1.3211254,5.88225097142857,0.507560241935484,18.1000406550602,0.528086628243657,15.6008395,1.23372809180346,6.35932306641825,3519.125536,2579.894506,164802760000,8.6752405425,15.0349621666667,5.88225097142857,0.507560241935484,18.7909091362003,0.694706598331873,3519.125536,2579.894506,129.088515928844,1.13999090029393
1981,88804286000,7.90155447666667,13.8366525833333,1.74544355,8.22334007857143,0.656836370967742,19.1862029283296,0.5747454817366,15.41656575,1.3401624266127,6.32462621268435,3519.05266075,2404.92910075,164802760000,7.44969287666667,15.4965808333333,8.22334007857143,0.656836370967742,19.9908315274454,0.717702878330508,3519.05266075,2404.92910075,145.843272505823,0.809944448921125
1982,88804276666.6667,7.79110889916667,13.4400621666667,0.246795185,6.23721772142857,0.495273274193548,18.6752873126715,0.536697738672916,14.61595125,0.774927421526321,7.06876065301948,3307.72865275,2459.32004025,164802723333.333,7.32558104083333,15.5951938333333,6.23721772142857,0.495273274193548,19.5106113163561,0.730036012472633,3307.72865275,2459.32004025,91.3345518324097,0.412693015658045
1983,88804276000,7.86469177916667,13.2831851666667,0.00174927,6.59303973928571,0.675437983870968,18.7860600381489,0.599983382889928,15.76079425,1.55873295998057,5.86988394229887,3678.63441175,2471.18099925,164802720000,7.37965361616667,15.1090404166667,6.59303973928571,0.675437983870968,19.6228799181129,0.771163683531024,3678.63441175,2471.18099925,150.858167911138,1.18252767401649
1984,88804276000,6.322858695,13.59244725,-0.44913164,6.058015075,0.678825161290323,18.4627943434807,0.631734786510693,13.43411425,1.91069809244616,5.87988459812294,3526.83337375,2417.66534125,164802720000,6.1076339525,15.2698364166667,6.058015075,0.678825161290323,19.2771268742815,0.776852057801011,3526.83337375,2417.66534125,130.780786647677,1.37537038997997
1985,88804276000,7.25930456,13.5362225833333,1.08638031,6.59973821785714,0.605294693548387,18.4769493313488,0.61281126320984,14.6832075,1.59726428886023,5.86550335648062,3648.198352,2472.8552645,164802720000,6.864668575,15.5244651666667,6.59973821785714,0.605294693548387,19.3204143757798,0.771220502566372,3648.198352,2472.8552645,153.844129912502,1.23741563243596
1986,88804276000,7.6479512325,14.4353574166667,0.13151184,5.66287137142857,0.554222467741936,18.7588217477237,0.663184474137113,15.0196485,2.12777093231289,5.03570007338719,3889.52281375,2301.00018875,164802720000,7.4461611625,16.264922,5.66287137142857,0.554222467741936,19.5901321984977,0.830067103519545,3889.52281375,2301.00018875,205.166601541479,1.91377766382792
1987,88804276000,8.32830676166667,14.79815625,1.36039097,6.90617329642857,0.634022274193548,18.3783400306163,0.650838327041578,15.231616,1.62161505349355,5.646443747366,3748.1537795,2330.9142845,164802720000,7.9845569,16.7170124166667,6.90617329642857,0.634022274193548,19.149734548547,0.82398718137149,3748.1537795,2330.9142845,161.720601932063,1.03128352091275
1988,88804276000,9.0415468175,14.3767704166667,0.84470349,6.91956503571429,0.667395274193548,19.9705604770339,0.724034843186309,15.83166825,2.37882833150045,4.80851923661056,4020.090502,2270.2561295,164802720000,8.7215752575,15.9915254166667,6.91956503571429,0.667395274193548,20.7381069857507,0.889463873137386,4020.090502,2270.2561295,233.341703022298,2.18900188130655
1989,88804276000,8.30368605,13.9498430833333,2.35842435,7.15221359285714,0.678746016129032,18.5040704629654,0.634874861262044,15.36286525,1.57749657048051,5.93894977229231,3623.895224,2382.4840415,164802720000,7.70122536666667,15.57953725,7.15221359285714,0.678746016129032,19.2598521299584,0.78686790036842,3623.895224,2382.4840415,150.206289675686,1.32422880684467
1990,88804276000,8.93345146283333,13.7242248333333,0.019041187,5.79151381785714,0.5930665,18.5642220337418,0.631708647243572,15.8289325,2.03983197477318,5.18972714935861,3872.91388625,2380.63082625,164802720000,8.56315452333333,15.7676103333333,5.79151381785714,0.5930665,19.5668899411245,0.846644646540223,3872.91388625,2380.63082625,184.228360590728,1.90843385095609
1991,88804276000,8.67465993916667,14.56401025,0.61218081,6.85227601785714,0.718310629032258,19.0467091942997,0.667793626086297,15.740549,1.94293297011044,5.14815488859702,3875.80052775,2264.95412275,164802720000,8.2891761225,16.4761348333333,6.85227601785714,0.718310629032258,19.6108203001804,0.815856215607924,3875.80052775,2264.95412275,206.814455211882,1.91473598991505
1992,88804276000,8.79896118466667,14.062856,1.053036258,5.61839273571429,0.570877209677419,19.7682011010608,0.671840007495686,15.569271,1.89394944493576,5.16670954960303,3911.76065475,2367.48824975,164802720000,8.68466875,15.72395375,5.61839273571429,0.570877209677419,20.9387912270978,0.838658093000023,3911.76065475,2367.48824975,200.164780780774,1.68955398288664
