"Year","Volume_an_surf","Temp_an_surf","Sal_an_surf","Temp_win_surf","DIN_win_surf","DIP_win_surf","totN_an_surf","totP_an_surf","Temp_sum_surf","Chla_sum_surf","Secchi_sum","DOC_sum_surf","DOCter_sum_surf","Volume_an_tot","Temp_an_tot","Sal_an_tot","DIN_an_tot","DIP_an_tot","totN_an_tot","totP_an_tot","DOC_an_tot","DOCter_an_tot","PP_an","Nfix_an","AvOxy","Oxdebt","AnoxicArea","HypoxicArea"
1970,327136180833.333,4.20057777491667,3.21091164166667,-0.189907125,5.71485383178571,0.0781115548387097,18.5457889109527,0.144443505527598,10.711909625,0.174812512089042,6.9226004724226,3968.436328,3847.2358075,1432434783333.33,2.31634604416667,3.46277218333333,5.71485383178571,0.0781115548387097,18.735679731365,0.165738011552074,3968.436328,3847.2358075,4.74272657161646,1.99218606825177e-08,12.0518080277778,1.49601443333333,0,0
1971,327611220833.333,4.83974781333333,3.10702795,-0.165473855,6.20207154678571,0.0626387290322581,18.5967756259736,0.132420352802165,10.936063675,0.166097230392708,7.06487096498533,3906.24565875,3785.395645,1434639225000,3.50957342333333,3.46423630833333,6.20207154678571,0.0626387290322581,18.6115793939924,0.15883038507998,3906.24565875,3785.395645,4.42655207213991,4.69748793001202e-09,11.8983493513514,1.29274890810811,0,0
1972,326775525000,4.9371219825,3.18891656666667,-0.169548425,6.41082804071429,0.0663101451612903,19.042206885085,0.13060865725594,11.39282675,0.116625406591958,7.21485632243681,3850.97328925,3732.8629325,1430756091666.67,3.1439533275,3.547529625,6.41082804071429,0.0663101451612903,18.8877141995681,0.168537170202548,3850.97328925,3732.8629325,3.81767474594057,2.43478666428414e-09,12.2086525555556,0.967657145277778,0,0
1973,327771555833.333,4.75253283583333,3.2346904,-0.012351115,7.13345749107143,0.0769245419354839,19.7057485857052,0.139343428648766,10.9439263,0.172678622364625,7.14321330142992,3865.19765625,3747.171445,1435394600000,3.18704468833333,3.62102896666667,7.13345749107143,0.0769245419354839,19.4438632322021,0.186978180015625,3865.19765625,3747.171445,4.59619152916675,3.44320240098288e-09,12.2279658378378,0.850868637297297,0,0
1974,327442385833.333,5.40955418666667,3.222324775,-0.164994065,7.15928804714286,0.0722143564516129,20.1481546143668,0.137677826787559,11.5539182,0.218180078808792,7.19969992171442,3819.7808965,3693.4169275,1433860916666.67,3.7962057875,3.60559575,7.15928804714286,0.0722143564516129,19.8081135125493,0.193440771529575,3819.7808965,3693.4169275,5.19030620676718,3.23298988964727e-09,12.1094480833333,0.9796663025,0,0
1975,326588810833.333,4.26346809333333,3.24700815,-0.1181254835,7.92043900071429,0.0801978435483871,21.3121808835722,0.154164412040369,9.166650925,0.183766868698292,7.27953359634735,3788.56442475,3662.846125,1429897825000,3.24378871666667,3.62558655833333,7.92043900071429,0.0801978435483871,20.7501452200915,0.213600290790083,3788.56442475,3662.846125,4.48206500088756,1.69037608072473e-09,11.9321841621622,1.21546312162162,0,0
1976,326811290000,4.91223407333333,3.30748445833333,-0.177631525,7.97056804928572,0.0958775225806452,20.4593075139775,0.154512714270507,10.14148625,0.190090710745542,7.21250003691605,3824.94650275,3685.9493825,1430901766666.67,3.61350442583333,3.63195914166667,7.97056804928572,0.0958775225806452,20.4857659365137,0.212523387324511,3824.94650275,3685.9493825,5.67050622321782,6.35025680382891e-10,12.0740928333333,1.13777453888889,0,0
1977,328104191666.667,5.64978848958333,3.26882908333333,-0.0996286525,7.60616347357143,0.0959827370967742,20.3703792183467,0.161766729395502,12.3468361,0.0875540558430417,7.32649834279668,3811.4280185,3665.8464875,1436968125000,3.27375194833333,3.64659808333333,7.60616347357143,0.0959827370967742,20.4273943049044,0.224362078855131,3811.4280185,3665.8464875,6.52462180022566,7.20881245969347e-09,12.2942123783784,0.904276402972973,0,0
1978,327155526666.667,4.49678353325,3.364967825,-0.116039639,7.63687237178571,0.107265756451613,19.9305366900144,0.162169319359047,10.446591075,0.236809751627042,7.33063525596688,3745.66231425,3610.8957925,1432498550000,3.14783016333333,3.65512545,7.63687237178571,0.107265756451613,20.1194006547497,0.220390030501831,3745.66231425,3610.8957925,5.76696570356551,5.26777345181845e-09,12.2012713888889,0.909552347222222,0,0
1979,327058862500,4.23398198,3.61997094166667,-0.181538115,7.12300802642857,0.0996305790322581,19.4850531545923,0.154296924617774,8.705664875,0.17051883290975,7.7133193340237,3568.3239385,3425.469849,1432100133333.33,3.1809522225,3.813571525,7.12300802642857,0.0996305790322581,19.5718137520009,0.201078311406742,3568.3239385,3425.469849,4.8355208945279,8.6018394239592e-10,12.5386996756757,0.675297994324324,0,0
