"Year","Volume_an_surf","Temp_an_surf","Sal_an_surf","Temp_win_surf","DIN_win_surf","DIP_win_surf","totN_an_surf","totP_an_surf","Temp_sum_surf","Chla_sum_surf","Secchi_sum","DOC_sum_surf","DOCter_sum_surf","Volume_an_tot","Temp_an_tot","Sal_an_tot","DIN_an_tot","DIP_an_tot","totN_an_tot","totP_an_tot","DOC_an_tot","DOCter_an_tot","PP_an","Nfix_an"
1970,88867758000,8.12773876,22.3817906666667,0.60787466,4.85663074642857,0.48179514516129,17.0830889003986,0.626854581726246,14.6234045,1.49786903983448,6.97350103221506,2913.71515925,1782.25852925,209598130000,7.49619288333333,25.7458011666667,4.85663074642857,0.48179514516129,18.2497673181838,0.808110566416129,2913.71515925,1782.25852925,169.112392567674,0.790327839835019
1971,88867758000,8.29537173333333,20.97131625,1.6969614,5.83981798214286,0.521935483870968,17.2881367098163,0.627726182375035,14.471793,1.70747313444646,6.65045046565827,3032.45870025,1733.02732275,209598130000,7.874766025,25.1662079166667,5.83981798214286,0.521935483870968,19.2762182381693,0.872876713990953,3032.45870025,1733.02732275,202.66373131419,0.823716589165896
1972,88867758000,9.25114325,21.9969455833333,2.7114502,4.78819235357143,0.500077919354839,17.2263531778135,0.646148156112601,15.07150075,2.02625161307931,6.35097554258568,3084.268176,1546.6902785,209598130000,8.65118178333333,25.7560748333333,4.78819235357143,0.500077919354839,19.0094409587375,0.867464318268289,3084.268176,1546.6902785,269.40239168194,1.12932478982217
1973,88867758000,8.201931315,22.2010330833333,0.37067504,5.784145525,0.545470983870968,17.4587019036978,0.692355629479945,14.47097975,1.85528323317079,6.47667838838882,3098.25263275,1618.38492525,209598130000,8.30824661666667,25.7954195833333,5.784145525,0.545470983870968,19.2188077731997,0.920765032468337,3098.25263275,1618.38492525,235.207792999241,1.04652828362552
1974,88867758000,8.97135246666667,22.2768624166667,2.98524645,6.20445491428571,0.615419516129032,17.2201264198322,0.674764239298627,15.09462675,1.65687911594541,6.71112281565744,3047.33240525,1681.89055025,209598130000,8.32480908333333,25.8857691666667,6.20445491428571,0.615419516129032,19.1305679587119,0.906806784403699,3047.33240525,1681.89055025,219.599447874039,1.05328515801152
1975,88867758000,8.33722288333333,21.9336358333333,2.6386555,4.31677656071429,0.475412532258065,17.4043355011302,0.679901162211582,13.91007475,1.95186283256461,6.29670694236919,3162.273277,1685.652447,209598130000,8.0859413,25.4450985833333,4.31677656071429,0.475412532258065,19.0198541688894,0.887405279724467,3162.273277,1685.652447,233.573043770441,1.02005385789522
1976,88867758000,8.52128825,21.0795673333333,1.77262055,4.45251045714286,0.456720661290323,17.3300655537342,0.680239940911909,14.3299935,1.88838278136999,6.20083535426525,3285.49185525,1855.61449025,209598130000,8.133358775,24.8945849166667,4.45251045714286,0.456720661290323,18.9504406733636,0.893389581622536,3285.49185525,1855.61449025,213.806938201639,0.998670565859996
1977,88867758000,8.18946940333333,21.3084485,2.24627335,5.26343323571429,0.561244032258065,17.7692203414609,0.704156714259524,14.37720825,2.09050949465789,5.98314990683432,3341.788991,1750.650136,209598130000,7.931436625,25.0266924166667,5.26343323571429,0.561244032258065,19.432702338897,0.918111916597254,3341.788991,1750.650136,255.798361836972,1.11943058907557
1978,88867757166.6667,7.87758352083333,21.50971375,-0.480742,7.25821631785714,0.659435387096774,17.8851820450024,0.711817594236644,14.4703585,1.96133140704545,6.45594485700236,3056.038728,1670.5589605,209598112500,7.906302825,25.6534133333333,7.25821631785714,0.659435387096774,19.4514244016589,0.950175493982884,3056.038728,1670.5589605,211.871044546992,1.18356682496139
1979,88867757000,8.95173933333333,21.80571425,3.9535791,4.79970577142857,0.536075709677419,17.1403201281194,0.690014535992692,14.53577275,1.59745291100211,6.40715705331008,3277.5658575,1887.64933,209598110000,8.311842175,25.5727634166667,4.79970577142857,0.536075709677419,18.8787053747445,0.922052723063394,3277.5658575,1887.64933,197.251939770034,0.694182575693955
1980,88867757000,8.61419815,22.6149175833333,2.9561541,5.90031082142857,0.63359035483871,17.8524277000827,0.751271754366108,14.28958025,2.04209219552379,6.03871195018433,3299.06373775,1724.42439775,209598110000,7.9871904,25.69251075,5.90031082142857,0.63359035483871,19.2540102528557,0.931477752808521,3299.06373775,1724.42439775,234.554878743772,0.797152355843409
1981,88867757000,9.14706538333333,20.9771865,3.00496405,7.00969236071429,0.599961451612903,19.3335686380221,0.75057263166544,15.21200975,2.39717245352785,5.01936654366323,3863.7968735,2017.427106,209598110000,8.34863370833333,24.6073870833333,7.00969236071429,0.599961451612903,20.7027215126487,0.949251154965956,3863.7968735,2017.427106,275.755064857185,1.33862882267101
1982,88867757000,9.24689914166667,21.328864,3.58428605,6.21622154642857,0.561293225806452,18.5783430716229,0.727065533064486,15.04835625,1.90443132667006,6.19460525589015,3299.69791625,1714.78850125,209598110000,8.1435028,25.1706503333333,6.21622154642857,0.561293225806452,20.2677988628448,0.94215021127696,3299.69791625,1714.78850125,246.063684303867,1.13710291025713
