"Year","Volume_an_surf","Temp_an_surf","Sal_an_surf","Temp_win_surf","DIN_win_surf","DIP_win_surf","totN_an_surf","totP_an_surf","Temp_sum_surf","Chla_sum_surf","Secchi_sum","DOC_sum_surf","DOCter_sum_surf","Volume_an_tot","Temp_an_tot","Sal_an_tot","DIN_an_tot","DIP_an_tot","totN_an_tot","totP_an_tot","DOC_an_tot","DOCter_an_tot","PP_an","Nfix_an","AvOxy","Oxdebt","AnoxicArea","HypoxicArea"
1970,216815665833.333,8.23085165833333,5.98362924166667,1.24657615,3.93457697857143,0.674170064516129,19.1362590234698,0.77534393951411,15.58913675,2.23287642184923,4.87115704021969,4546.590754,3136.0182965,780043595833.333,6.39508758333333,6.25683785,3.93457697857143,0.674170064516129,19.6083321237366,0.896124179108198,4546.590754,3136.0182965,260.387318740356,2.03749061046363,8.19792948888889,4.53026368333333,0,73.0887935342466
1971,216631838333.333,7.02703899333333,6.06322185833333,0.070928425,4.85714994642857,0.70901764516129,19.6723560654726,0.788713390524486,14.99770075,1.98614186870434,5.21499345277045,4471.596361,3146.224041,778989133333.333,5.2263028225,6.44992540833333,4.85714994642857,0.70901764516129,20.6092822800732,0.998625390555976,4471.596361,3146.224041,215.73674142,2.21482045418167,4.69619444054054,7.79706534594594,0,375.82861479452
1972,216875506666.667,5.96671134583333,6.11111613333333,0.050359685,4.66099169642857,0.702870467741935,19.7044467295081,0.792760349022863,12.711642,1.9376659543962,5.29647549588107,4429.051585,3175.36179,780396358333.333,4.71752443095,6.381889725,4.66099169642857,0.702870467741935,20.234875011698,0.903846734003208,4429.051585,3175.36179,177.386499053889,2.06706815844215,7.67769500555555,4.96849346944444,0,5.20187579234973
1973,216750550000,6.37949830916667,5.9104065,-0.312092125,4.114806925,0.558069790322581,18.3446870591491,0.678830470096965,13.755884025,1.42203842458102,5.97204060828769,4215.14561,3198.0798325,779664381666.667,4.57476392333333,6.3358018,4.114806925,0.558069790322581,19.5680231147363,0.870214946553998,4215.14561,3198.0798325,129.503200336432,1.39556479461967,6.93836036756757,5.67698773513514,0,10.8020491232877
1974,216347995833.333,6.83190033916667,5.9191338,0.215400405,4.496934625,0.635083951612903,18.7202301002615,0.702872206237021,14.98216675,1.98571517210955,5.32412165596262,4383.3191775,3170.58962,777345504166.667,5.06337405666667,6.24797874166667,4.496934625,0.635083951612903,19.5546551543645,0.858067993260565,4383.3191775,3170.58962,198.90150477094,2.18158397811615,7.07457996666667,5.47921691111111,0,0
1975,216968745833.333,6.87268508666667,6.03398866666667,-0.06988378,5.77447621785714,0.587965435483871,19.4071410623667,0.712317327793733,14.80144125,1.5072810321049,5.71550125686314,4345.48781375,3165.09491625,780951176666.667,5.1542590495,6.27762728333333,5.77447621785714,0.587965435483871,20.3560360041973,0.844179357775684,4345.48781375,3165.09491625,179.204813669893,0.909160562246642,8.17643492702703,4.45918225486487,0,262.967565890411
1976,216890903333.333,7.26594721083333,5.96439229166667,0.54394572,3.94830256071429,0.582707951612903,19.0262239105149,0.734132168849028,15.1105825,2.41898018239101,4.52402969260009,4682.0615375,3190.4710025,780483320833.333,5.57898756883333,6.23502123333333,3.94830256071429,0.582707951612903,19.7613441720549,0.878306471457107,4682.0615375,3190.4710025,241.338515133716,2.40110945622354,7.65724689166667,4.88790495555556,0,0
1977,216636050000,6.1760117625,5.90755146666667,-0.30933435,4.65550629642857,0.620703548387097,19.259438686033,0.762462950913945,13.14542885,1.90591747145258,5.42900431586345,4375.1339875,3202.80008,779001095833.333,4.6297427275,6.24704020833333,4.65550629642857,0.620703548387097,20.1894256271434,0.94645403119016,4375.1339875,3202.80008,153.683854411927,1.69449023899628,6.47939034864865,6.06225891351351,0,27.1504696986301
1978,216482482500,6.78093311916667,5.83851450833333,-0.314540805,5.70370196785714,0.733681693548387,19.6209184057837,0.841700773866018,14.441911,1.76387879251897,5.10524270441686,4563.09402225,3188.39898975,778138709166.667,5.07384418666667,6.15572391666667,5.70370196785714,0.733681693548387,20.4649308856943,0.998819569023285,4563.09402225,3188.39898975,211.700002603334,1.38845564131392,7.80689744722222,4.85015469444444,0,120.010479369863
1979,216970726666.667,7.53395470333333,5.84204213333333,0.466346105,4.71481986428571,0.717657129032258,20.1322857621268,0.881582868107471,14.489668,2.52720897268585,4.42899600730972,4723.3324335,3194.298391,780949470833.333,5.98403503666667,6.147838875,4.71481986428571,0.717657129032258,20.8771277693666,1.05947103833925,4723.3324335,3194.298391,253.750760372778,2.43027387653744,5.33035155945946,7.13822111621622,0,188.701185534247
1980,216652540833.333,7.08913418841667,6.02497171666667,1.382786335,5.73647502857143,0.833672338709677,20.836360648813,0.915633036416228,14.65730975,2.86115673333988,4.15040637013982,4801.4755735,3178.9846185,779108014166.667,5.21138917166667,6.23903635833333,5.73647502857143,0.833672338709677,21.1812034311432,1.04574639257445,4801.4755735,3178.9846185,243.669946707942,3.24686814723045,7.82891594722222,4.68934994888889,0,152.006635819672
1981,216617720833.333,6.89460716616667,5.97564351666667,-0.264930495,5.36677724642857,0.693984903225806,22.1916523244849,0.915922261561518,14.234158525,2.81885682160393,4.27768615135999,4787.79626375,3167.71780625,778901309166.667,5.70743043666667,6.29073788333333,5.36677724642857,0.693984903225806,22.2130141931867,1.0891460808155,4787.79626375,3167.71780625,258.142893594883,2.07459660254449,5.03446117297297,7.3286902972973,75.4641556712329,605.416713616439
1982,217008313333.333,8.05666331333333,5.96561105,0.98448492,5.56441401785714,0.826485935483871,21.3942065816296,0.896611864278088,16.54939425,1.6404819420619,4.946721959623,4689.571434,3197.917869,781195252500,5.59109455583333,6.21453538333333,5.56441401785714,0.826485935483871,22.0382346552977,1.04479310409406,4689.571434,3197.917869,220.089911851389,0.89447890731357,9.42508555555555,3.05712650472222,0,34.1071830958904
1983,216968520833.333,6.568743605,6.04974199166667,-0.10011924,5.56626574285714,0.854989935483871,22.809733397888,0.947029548157274,13.36244375,2.30844486879424,4.71329648252681,4648.91765625,3184.64702375,780927462500,5.12262005916667,6.295696275,5.56626574285714,0.854989935483871,23.3806555539443,1.09249354422808,4648.91765625,3184.64702375,221.649433481939,2.22903653139098,9.39366250810811,3.31426720810811,0,5.70772920547945
1984,217011639166.667,6.8024503075,6.13296310833333,-0.240010845,5.91466566071429,0.767237903225806,22.7419699670015,0.91479938545904,13.61960575,1.74590650907952,4.97721227240438,4651.3011705,3186.005708,781187412500,5.38627354031667,6.38087910833333,5.91466566071429,0.767237903225806,23.226885284247,1.05983112636253,4651.3011705,3186.005708,215.141757827474,1.57170403365811,8.20528363333333,4.46644155833333,0,0.862281448087432
1985,217311735000,7.425354705,6.093676075,0.5459019,5.95644589285714,0.812023725806452,22.6913567775323,0.920845382357202,14.94807675,2.51618388471537,4.15434950782478,4908.412645,3207.619025,782992005000,5.57391716083333,6.3235688,5.95644589285714,0.812023725806452,23.0567562858997,1.04913439007934,4908.412645,3207.619025,261.47789709754,2.55671284657985,9.70022482162162,2.87682927891892,0,6.04225397260274
1986,217083668333.333,7.45866819,6.01657719166667,0.980577715,6.70658863571429,0.750073596774194,23.2884833428908,0.871249761162626,14.45167925,2.18385070068831,4.47169822101692,4853.42928125,3209.49331125,781623188333.333,5.8156177475,6.26689789166667,6.70658863571429,0.750073596774194,24.1873694256274,1.03555197256317,4853.42928125,3209.49331125,275.4992626444,2.0706035649013,8.14896398611111,4.17448999555556,0,112.575953424657
1987,216703318333.333,6.22547483333333,6.027390375,-0.264041255,7.20685042142857,0.666519548387097,24.8205427790415,0.835921217689525,13.37349725,2.00116654731338,4.6788916463968,4779.54401625,3213.06876125,779375480833.333,5.04289335416667,6.313742025,7.20685042142857,0.666519548387097,25.2631610950138,1.00402034410612,4779.54401625,3213.06876125,226.105694471608,1.08788044926346,7.73294806486486,4.87442902162162,2.54829435616438,255.87668509589
1988,216613425000,7.51482914666667,6.05511181666667,0.04122543,6.620010975,0.604074096774194,24.8135997752903,0.951756558079407,15.6728395,1.77692825142641,4.38938692493395,4931.33530125,3192.65669875,778863907500,5.64600750983333,6.31362205,6.620010975,0.604074096774194,25.3441563740826,1.12466202759093,4931.33530125,3192.65669875,269.185661656506,0.784003694018357,7.0557437054054,5.55447164324324,3.4181287431694,206.140259551913
1989,216510332500,8.1250664525,5.94554643333333,0.975687005,6.80402144642857,0.921010403225806,24.889883662761,1.04963813966633,16.17577175,2.32668814899132,3.92748557198575,5037.78339,3174.3432675,778264064166.667,6.05866888583333,6.28498034166667,6.80402144642857,0.921010403225806,25.2837427511208,1.28551139495396,5037.78339,3174.3432675,283.463285772219,2.92369611257841,4.25304873111111,8.09578511666667,190.318947342466,1050.44161665753
1990,217103427500,7.30121512666667,5.97086549166667,0.49050077,8.63265971785714,1.05959266129032,24.5757051109826,1.17145428751801,13.80153575,3.00175506248069,3.85465655562519,5006.350205,3218.341665,781719073333.333,5.88653253,6.21840451666667,8.63265971785714,1.05959266129032,25.3676232589139,1.36400611522877,5006.350205,3218.341665,278.256769240949,2.80937923451563,7.54032650918919,4.83960846756757,13.7172470958904,257.510036849315
1991,217144402500,7.86431435833333,5.86667363333333,1.5938553,8.19909568571429,1.00667922580645,24.3575213299151,1.09648287412488,15.10658425,2.95291949480147,3.35934875614026,5249.76259925,3227.72457675,781982656666.667,6.14482089166667,6.11415333333333,8.19909568571429,1.00667922580645,24.9496460380976,1.24173184156802,5249.76259925,3227.72457675,305.668859117208,2.30509054992291,8.95219867222222,3.3758038625,0,47.9291730958904
1992,216737684166.667,7.42502071391667,5.837285675,0.388599283,9.88977285357143,1.09568420967742,26.4956031611227,1.09012312389418,15.25257675,3.08251638719342,3.17964418437417,5373.2897175,3230.0061675,779582675000,5.73134985833333,6.12397755833333,9.88977285357143,1.09568420967742,26.8671014361145,1.25844697025659,5373.2897175,3230.0061675,336.218946414555,2.91935216549578,8.30619625135135,4.10091558648649,0,25.5560099453552
1993,216749677500,7.65190098333333,5.90706580833333,0.79161388,9.48560825714286,0.914456983870968,24.9856966373002,1.04133184378162,14.6989455,2.39823126368908,3.65886642838426,5186.8154035,3228.1242535,779652199166.667,6.12077299166667,6.17335989166667,9.48560825714286,0.914456983870968,25.4853081338216,1.19827438734891,5186.8154035,3228.1242535,270.262714147695,1.67570689197347,8.96296966944445,3.43612088333333,0,14.1225324931507
1994,216590545000,7.1038228425,6.067952075,0.277036255,7.38272485,1.00626075806452,24.5820294839145,1.07002424933822,14.79920625,2.40422416837211,3.77503505764262,5163.02331175,3195.79363175,778740128333.333,5.06457801025,6.296218525,7.38272485,1.00626075806452,25.0479860384254,1.23777278943444,5163.02331175,3195.79363175,274.445635217161,2.66214209216152,9.44350557027027,3.22120257567568,0,18.3781749315068
1995,216648227500,6.92225534416667,6.05781499166667,0.43144533,6.10605019285714,0.90781814516129,26.0350859927108,1.13311295023459,14.1077295,3.13569254609932,3.48760972622832,5251.0426265,3225.259274,779066570000,5.55605347083333,6.28327403333333,6.10605019285714,0.90781814516129,26.2151598623979,1.26847629942261,5251.0426265,3225.259274,275.645500658942,3.31044100106952,8.49556032222223,4.09828148333333,0,46.6339902191781
1996,216849721666.667,6.8899072325,5.98239029166667,0.31878284,9.41242272142857,1.07216675806452,25.5714356403345,1.1583017704297,14.43247975,1.74105394701079,4.16936757925323,5022.17711,3213.20526,780249047500,5.09116097291667,6.21006673333333,9.41242272142857,1.07216675806452,26.0585268837495,1.30046666057915,5022.17711,3213.20526,217.670348621972,1.43214056613927,8.95887412432432,3.53723018378378,0,0
1997,217312258333.333,8.6137544925,5.77957884166667,0.835905525,5.66859169642857,0.972282016129032,22.9528477999156,1.09236268123809,16.562337,2.38127897020764,3.26821194985582,5297.50291425,3229.78678425,783003190833.333,6.228559815,6.05486891666667,5.66859169642857,0.972282016129032,24.029390650299,1.27046120157459,5297.50291425,3229.78678425,329.628055078014,1.89208525828621,9.38217249166667,2.99256470138889,0,20.9126218630137
1998,216380124166.667,7.9366929075,5.79060210833333,1.26839137,6.06634881785714,1.04784088709677,25.3378786428518,1.17088019432447,16.323581,3.77927211960946,2.1948456985718,5729.635054,3226.805264,777511705000,5.84531943666667,6.088516525,6.06634881785714,1.04784088709677,25.9198321561222,1.35420747704349,5729.635054,3226.805264,390.834388725257,3.334661253013,8.5753975027027,3.93457243783784,0,6.59637071232877
1999,216436698333.333,7.34746328166667,6.03047631666667,-0.292591015,8.79016084285714,1.08604529032258,26.0852684489411,1.20550800560058,15.428030525,2.0585534727752,3.66799086789898,5193.19896075,3198.98962325,777837716666.667,5.44302817391667,6.24730340833333,8.79016084285714,1.08604529032258,26.4857723868633,1.3616775101258,5193.19896075,3198.98962325,267.406808192796,1.57523710557084,8.23447566111111,4.39237364444444,0,142.069656931507
2000,216845196666.667,8.50796574166667,6.03002243333333,1.76476605,6.2547405,1.04474737096774,26.3638008469055,1.20429882623486,15.539363,2.96285657376052,3.30688692553106,5426.0525935,3209.8964335,780226305000,6.6922703,6.22076825833333,6.2547405,1.04474737096774,26.7604373151756,1.3516266561058,5426.0525935,3209.8964335,347.853906144434,3.38698604131269,8.22099322162162,4.16157555702703,30.0109986885246,282.209714344262
2001,216493730833.333,7.37428021083333,6.15075685,0.34037136,9.806185375,1.1679374516129,29.4082530856842,1.26827052575563,14.728804,3.58974572608589,3.03788594812219,5433.419569,3200.383734,778173087500,6.01726061133333,6.333445025,9.806185375,1.1679374516129,29.2638788239966,1.41414528070331,5433.419569,3200.383734,329.08994886826,4.53458717709653,6.32256273333333,6.08203147222222,44.644195369863,347.650719534247
2002,216850212500,7.56508389016667,6.06896124166667,1.280622875,10.5543819178571,1.10942053225806,27.7244654735433,1.2426217611754,15.0897,2.70201623438673,2.99637264154135,5537.65571425,3216.46208925,780249406666.667,6.00773920916667,6.26410016666667,10.5543819178571,1.10942053225806,28.298728918815,1.39031213932587,5537.65571425,3216.46208925,360.207362364387,2.27757657661376,8.25303209459459,4.26236427837838,0,109.630485369863
2003,216460088333.333,7.47887602916667,5.831799975,0.118099135,6.05278562142857,0.975334274193548,26.0584010818225,1.19534492152206,15.45192875,3.5322787444418,2.80567863407791,5510.6579925,3248.277645,778011650833.333,5.80420419583333,6.20995050833333,6.05278562142857,0.975334274193548,26.3883167529957,1.45646090844736,5510.6579925,3248.277645,316.832102480629,3.73283021351818,3.40130683333333,8.78776184166667,108.67714909589,1305.89501887671
2004,216746321666.667,7.4068401925,5.945858575,-0.092558785,7.58997720357143,1.12547027419355,27.4998834279984,1.26070889465442,15.23815175,3.32796255381243,2.70104510558679,5690.53248275,3233.18479525,779638675833.333,5.67292282666667,6.2261956,7.58997720357143,1.12547027419355,27.4168056737106,1.43033150850325,5690.53248275,3233.18479525,357.395725186798,4.2253173577159,6.45377995405405,5.85145978378378,22.5938374590164,448.802349699453
2005,216657774166.667,7.28529816375,5.94302281666667,-0.1932227025,7.62663330714286,0.986222096774193,27.2397991528088,1.21722970457131,15.30579625,3.55054366343137,2.06765547142283,5793.27299775,3233.62065775,779123343333.333,5.5223112425,6.24746309166667,7.62663330714286,0.986222096774193,27.4874073867628,1.40201338684079,5793.27299775,3233.62065775,376.627486281187,3.11139801269802,6.33468997805556,6.15902105555556,78.7882698904109,487.343318191781
2006,217189038333.333,7.97251620775,6.06585115833333,0.2514754265,5.67262765,1.09423669354839,24.649313251148,1.21478969883436,16.04860475,2.86755583456615,2.47454330543335,5653.85700875,3238.05065875,782239265833.333,5.67704376333333,6.30281385833333,5.67262765,1.09423669354839,24.7601376187217,1.3736128157376,5653.85700875,3238.05065875,322.767590743169,2.7062193239958,8.3254194,4.09661119459459,0,74.6524031835616
2007,216717479166.667,7.67368564833334,5.81144503333333,1.18371529,5.66446266071429,1.03880970967742,24.5737426620464,1.08901117933395,15.77077625,2.8272503330454,2.9744477435414,5407.2116075,3249.5805075,779481680833.333,5.62627986083333,6.111129175,5.66446266071429,1.03880970967742,24.870462173799,1.27130003450602,5407.2116075,3249.5805075,300.739683531993,3.04795789270829,7.99582308888889,4.32435160555555,0,189.602313671233
2008,216853719166.667,7.64877603,5.764576475,0.412990695,5.64755293214286,0.832243967741935,24.3688767157355,1.01002573944279,15.03627975,2.6437677891267,3.43955396367849,5263.9694485,3257.795916,780274554166.667,5.93238119833333,6.06419199166667,5.64755293214286,0.832243967741935,25.0039814422799,1.18659886732067,5263.9694485,3257.795916,278.726484890041,2.43129694795804,8.54551387027027,3.93057005135135,0,90.2025849453552
2009,216521673333.333,7.4267096,5.74493895833333,0.26798976,6.73958262142857,0.865886161290323,24.0084320172085,1.12174121130608,14.57114425,2.32837085183468,3.91743134807674,5050.44673975,3259.11213975,778332162500,6.08777971333333,6.01357994166667,6.73958262142857,0.865886161290323,24.5090917374812,1.26390589673667,5050.44673975,3259.11213975,254.77976076649,1.76171133145513,6.77383728378378,5.59838424054054,31.4766982739726,373.901866958904
2010,216755135000,8.02021129241667,5.721005575,1.26473237,5.76287554285714,1.00869601612903,23.6721098532978,1.14508717610614,16.4743895,2.48396403039612,3.10628603740963,5353.9492355,3240.7330355,779685937500,6.12706422083333,5.99175343333333,5.76287554285714,1.00869601612903,24.0267447726076,1.31515161191659,5353.9492355,3240.7330355,319.849812839102,2.1443839148094,6.87975706111111,5.44068314444444,76.9428092328767,466.560994136986
2011,216995353333.333,7.52804270416667,5.716381975,-0.26782335,5.768049125,0.954409838709677,24.0744503628026,1.09532262210477,15.260665,3.19869787929375,3.03331161928882,5370.16226675,3258.75036425,781109075000,5.67241790166667,6.02109739166667,5.768049125,0.954409838709677,24.2788527365037,1.29377116267103,5370.16226675,3258.75036425,287.187391649907,3.03601317366531,6.67908706675676,5.80991054054054,103.292051561644,367.108355123288
2012,216495415833.333,7.8905544725,5.74663991666667,0.846858645,6.60093923928571,0.898807129032258,24.5505918318032,0.991110677651246,15.77764675,2.58507002333038,3.56206732946578,5214.7730875,3248.893625,778180780833.333,5.813455815,6.02905113333333,6.60093923928571,0.898807129032258,25.2586264276865,1.19635331483468,5214.7730875,3248.893625,280.140699643421,2.73732190351168,7.78334631666667,4.79398283333333,8.60836453551913,244.484554699453
