"Year","Temp_an_surf","Sal_an_surf","Temp_win_surf","DIN_win_surf","DIP_win_surf","totN_an_surf","totP_an_surf","Temp_sum_surf","Chla_sum_surf","DOC_sum_surf","DOCter_sum_surf","Temp_an_tot","Sal_an_tot","DIN_an_tot","DIP_an_tot","totN_an_tot","totP_an_tot","DOC_an_tot","DOCter_an_tot","PP_an","Nfix_an","Secchi_sum"
1970,10.1406433515555,22.1978426619059,2.3801678534547,3.78473586029746,0.399620874775012,16.6567772629534,0.580649704190403,16.8847635873475,1.0785030582595,2990.92114045979,1881.70791175269,8.80100058189021,27.1936038681169,3.80523294914581,0.399174433764921,18.3014246208485,0.796901066026264,2965.76270792056,1867.13846575767,150.866232669062,0.547417549372445,7.70610339872885
1971,9.27728875702384,23.047490448925,1.41828936625795,5.21976956747194,0.575368352459832,16.6836475415952,0.658865880550569,15.5797524315065,1.33385301915605,2854.00186432627,1613.03431855029,8.65995605851685,27.715917565917,5.26755317370179,0.575289446905626,18.6248138512075,0.863690192953728,2834.42357941785,1605.04780419408,167.858497985604,0.634142082264276,7.593298575509
1972,9.10881290396879,22.2452529030638,3.58420981976591,6.70867719908245,0.634330937893932,16.8833281280905,0.636411053316252,15.4984105891713,1.34079209186601,2945.40622290706,1642.33783123756,8.57389223224559,27.0695198857139,6.71875890318963,0.632737028231798,18.8503279447581,0.855593546745225,2928.31241943603,1635.09768274361,182.547868646696,0.535252783694568,7.51686231983046
1973,9.06202021909095,22.2997229057359,2.07661659154133,5.85706788240983,0.556886120406799,17.1485067767827,0.684763644469628,15.394688977485,1.50739122437187,3138.18717683382,1739.12927127266,8.78569909908425,27.2390131310763,5.84890389398219,0.553070683355728,19.0278539880564,0.897706132549955,3121.46877848093,1731.36102002772,181.403539804105,0.666436014146178,7.125775811615
1974,8.72841073505544,22.1305037403321,2.09398186850954,5.0528352537756,0.64402982178242,17.3971971722186,0.709202563892148,14.9721867496176,1.74573725145566,3103.25637955331,1557.68356062846,8.57315520007092,27.2552856724465,5.08748043180269,0.64338535873733,19.4331306249687,0.923063277546999,3086.15133559579,1550.32025566004,213.17004285029,0.852982472816052,6.97361256033783
1975,9.68128086852753,23.3454905569498,2.21240194153917,6.48318739539942,0.617406035194682,16.8313283912118,0.665881707703293,16.5491945529653,1.00544201927303,2961.38141718127,1817.8946313823,8.7496822821496,27.6396868688358,6.50977627623029,0.615179481102837,18.5431806013395,0.858620813259351,2942.59772241744,1806.51627698459,165.400069923436,0.457048035394496,7.81172933048269
1976,9.42101530382125,21.7952940278802,2.76025653353731,6.29498671984151,0.646922337633623,16.677730887298,0.654343563419586,16.4033924289828,1.33595788708249,3070.66849008007,1858.14519453976,8.66187942526621,26.8472913349057,6.29885098538723,0.645305281309199,18.6121757485467,0.85809888947321,3050.41174146654,1847.21727802201,172.638921960065,0.74741788949579,7.38666200890886
1977,9.35186159062449,21.6645607419076,2.88028299749241,5.24897800363309,0.532340548581249,16.7239874568633,0.626688452030046,16.0292006360576,1.18022073506584,2992.72234045629,1779.36882103775,8.66975569285678,26.8497704846328,5.26920266220909,0.531261231831808,18.8949456889953,0.870900811624387,2973.45528146961,1769.1383200762,175.573984884273,0.448712054265908,7.61086874752186
1978,10.1394856573426,21.8752170041206,4.01144102973365,7.00810716085286,0.6489221387624,17.3207554611545,0.672078949767661,16.7045993995981,1.33209677892618,3043.80975216061,1714.8489037949,9.09818380648125,27.1422792382057,7.01449872349614,0.645638940344003,19.2776587132278,0.899503338521513,3021.86825417003,1705.08434178086,199.20355750746,0.692443320139175,7.40860972578588
1979,9.78250589735558,22.6710640452647,3.86477381773328,5.98623869743169,0.632460663540659,17.3640738776515,0.696487722128857,15.6399480218662,1.76162641446251,3214.44149484638,1709.74420196788,8.96735406512052,27.3209910687926,5.99985590225156,0.630394536406253,19.0236563223005,0.89520223636343,3195.0030766013,1699.38204906114,216.575939095914,0.916650754605504,6.84441233546427
