"Year","Volume_an_surf","Temp_an_surf","Sal_an_surf","Temp_win_surf","DIN_win_surf","DIP_win_surf","totN_an_surf","totP_an_surf","Temp_sum_surf","Chla_sum_surf","Secchi_sum","DOC_sum_surf","DOCter_sum_surf","Volume_an_tot","Temp_an_tot","Sal_an_tot","DIN_an_tot","DIP_an_tot","totN_an_tot","totP_an_tot","DOC_an_tot","DOCter_an_tot","PP_an","Nfix_an","AvOxy","Oxdebt","AnoxicArea","HypoxicArea","codRV"
1970,134129390000,10.3853215333333,8.231235825,1.93052705,3.29320716428571,0.404473112903226,18.147169277323,0.455420061516652,17.543293,1.06753690862276,6.76252670038544,3792.55442825,2983.92610075,378887490000,9.76196926666666,9.09301220833333,3.29320716428571,0.404473112903226,18.4941864415266,0.531891269630681,3792.55442825,2983.92610075,162.847252561236,0.659419458292289,8.863440825,1.96532785888889,15.547133369863,168.30257109589,50.2095575882191
1971,134129390000,9.544346525,8.44442620833333,2.55362555,3.09708657142857,0.378054838709677,18.1926575750018,0.429230770766069,16.396041,0.963273096425521,6.96033485929262,3721.657764,2977.273659,378887490000,9.02867844166667,9.45435308333333,3.09708657142857,0.378054838709677,18.4376464695046,0.510516376942623,3721.657764,2977.273659,139.320038963864,1.30668900581003,8.79427784864865,2.0884325083627,17.5461873972603,249.127301260274,58.2760190573699
1972,134129390000,9.2998064,8.4598764,3.98613505,3.65838744464286,0.405566612903226,18.1053557043983,0.427246540468442,15.56254525,1.0281434434602,6.83457905039905,3759.4884925,2986.6108225,378887490000,8.4625209,9.06402926666667,3.65838744464286,0.405566612903226,18.4182695226716,0.505045944731429,3759.4884925,2986.6108225,126.656431816217,1.1421381250325,8.95607924722222,2.12490497622222,25.2864138797814,298.574963387978,41.8710930196722
1973,134129390000,9.353266725,8.3519997,2.76830195,2.992983045,0.340581080645161,17.7903543531166,0.415658860055843,15.90739425,0.852994233513879,7.07727120756032,3711.25758475,3011.19587725,378887490000,8.79312019166666,9.19035084166667,2.992983045,0.340581080645161,18.0957162862921,0.506778341296533,3711.25758475,3011.19587725,118.770720166829,1.14714298008707,8.4606461,2.50655514394595,191.210426876712,731.902078383562,50.8830381547946
1974,134129390000,9.36955188333333,8.375240475,3.32519445,3.2458924675,0.413695580645161,17.9431992564021,0.427987737312564,15.61206325,1.14823246537209,6.70819616807868,3775.14706925,2980.20013925,378887490000,8.79859505,9.13423741666667,3.2458924675,0.413695580645161,18.2743909906106,0.522883695204174,3775.14706925,2980.20013925,131.640003730196,1.39185407107838,8.47371377777778,2.31273996441667,146.379812493151,458.242437178082,48.6303666816439
1975,134129390000,9.96723375833333,8.6099847,2.5925352,3.8666793,0.358112612903226,18.0265152247286,0.399341491994429,17.42099875,0.682606361742067,7.28505560370954,3678.66065525,3000.76883775,378887490000,9.13898766666667,9.5867364,3.8666793,0.358112612903226,18.3162602558684,0.487907968725209,3678.66065525,3000.76883775,123.473729033128,0.801893021048434,8.96802769189189,1.93132813916216,150.099597945205,357.357867890411,53.7139656780822
1976,134129390000,10.1070815333333,8.53384521666667,3.88645485,3.43992651357143,0.373956306451613,17.9473300214079,0.424152520844216,17.0703665,0.992278341110279,6.85708453196017,3773.3130565,2994.828154,378887490000,9.503711575,9.04128753333333,3.43992651357143,0.373956306451613,18.2129776970818,0.493194989192052,3773.3130565,2994.828154,163.438589978587,1.86174705601278,9.2386479,1.45170903225,82.4218634972677,233.587827704918,32.0530636606284
1977,134129390000,9.73183935833333,8.27711995,3.23172345,3.18184154642857,0.323320841935484,17.9593067579425,0.399392553028831,16.305725,0.921015580877762,6.94129390706236,3765.92217025,3020.00942275,378887490000,9.09518321666667,8.91467196666667,3.18184154642857,0.323320841935484,18.2524553576197,0.477919794248749,3765.92217025,3020.00942275,128.752379589924,1.1358498788107,8.78604536486487,2.03910048701622,69.5295881917808,311.505043808219,36.8233549249589
1978,134129390000,10.4130108333333,8.13329936666667,3.76022565,3.45232944285714,0.368838290322581,18.1754045557066,0.430791285251214,17.582456,1.07880234020179,6.64387365688178,3886.16439675,3021.59544175,378887490000,9.85494498333333,8.997235975,3.45232944285714,0.368838290322581,18.6243018292233,0.525694287370291,3886.16439675,3021.59544175,178.940101800546,1.41066152547745,8.399985865,2.26444784972222,163.975315452055,386.800805972603,48.4558229942192
1979,134129390000,10.2923814166667,8.43559181666667,4.13622305,3.14120387785714,0.373541387096774,18.4394851512195,0.452817481432889,16.2456815,1.31040618903778,6.38727784999087,3928.5597625,3015.7611875,378887490000,9.92150498333333,9.41345116666667,3.14120387785714,0.373541387096774,18.7199824356327,0.545368127734925,3928.5597625,3015.7611875,174.164074546362,1.61530649266917,8.57363476216216,1.96065334959459,86.448833890411,386.513258356164,57.5295315616438
