"Year","Volume_an_surf","Temp_an_surf","Sal_an_surf","Temp_win_surf","DIN_win_surf","DIP_win_surf","totN_an_surf","totP_an_surf","Temp_sum_surf","Chla_sum_surf","Secchi_sum","DOC_sum_surf","DOCter_sum_surf","Volume_an_tot","Temp_an_tot","Sal_an_tot","DIN_an_tot","DIP_an_tot","totN_an_tot","totP_an_tot","DOC_an_tot","DOCter_an_tot","PP_an","Nfix_an","AvOxy","Oxdebt","AnoxicArea","HypoxicArea"
1970,153243538333.333,9.82024390833333,5.92345821666667,1.3377333,4.2285066,0.659373274193548,25.128716472981,0.606257829591847,17.99163625,1.31624987414521,4.09184033900497,5525.3333635,4415.819091,417153906666.667,8.315961,5.963378025,4.2285066,0.659373274193548,25.5371294114838,0.7006204456194,5525.3333635,4415.819091,187.75840414981,2.47243811518768e-05,10.5865938638889,1.42920946767806,0,0
1971,153082970000,8.48295239166667,5.99874214166667,0.485495545,4.54142982142857,0.536450451612903,25.7267808402244,0.528576313523766,16.832243,0.611368398554604,5.68903501637377,5110.63710425,4304.71347425,416506234166.667,6.36930798583333,6.04675365833333,4.54142982142857,0.536450451612903,26.4390583442202,0.649149990843771,5110.63710425,4304.71347425,111.277534158547,5.87041867506944e-06,11.4500776945946,1.06889695775703,0,0
1972,153338645000,7.30091295916667,5.96237764166667,1.070463305,4.37718128214286,0.401863322580645,24.4439608721671,0.514641785901931,14.688215,0.630661211718092,5.33153786946238,5289.0182525,4444.8971875,417551063333.333,6.21256227558333,6.00103668333333,4.37718128214286,0.401863322580645,24.6693079923793,0.564917943884478,5289.0182525,4444.8971875,98.619309306403,0.000978329542259248,11.4880206444445,0.875329678988889,0,0
1973,153216285000,7.46843673916667,5.86067226666667,-0.078235775,4.37093478214286,0.408600838709677,24.3458741820844,0.50805437795706,15.32190125,0.564528139869038,5.24623678047213,5365.7932875,4568.88677,417045487500,6.15463726775,5.92982463333333,4.37093478214286,0.408600838709677,24.7440006361862,0.593557597640414,5365.7932875,4568.88677,93.2609463048274,2.21144743043033e-05,10.6999895243243,1.7770873072973,0,0
1974,152803700000,8.03848138233333,5.8115175,1.165842664,3.75373506428571,0.413265080645161,23.2274288904453,0.485417157270388,15.8542245,0.822920636774925,4.84945351011859,5388.5287035,4578.454691,415366237500,6.6427640375,5.86126998333333,3.75373506428571,0.413265080645161,23.6041812289429,0.561495944070187,5388.5287035,4578.454691,111.557177113476,0.592693173230297,10.6685229444444,1.83668295954167,0,0
1975,153402943333.333,8.5816683425,5.919691375,0.253816445,5.65045023571429,0.405568032258065,27.7731860185243,0.493874378769824,17.4815305,0.612293030828971,5.29990776382923,5301.46813875,4419.21255875,417817125833.333,6.65888057183333,5.95466320833333,5.65045023571429,0.405568032258065,28.1377131750501,0.567751633220657,5301.46813875,4419.21255875,125.748303212284,1.3772954215297e-07,11.3442685243243,1.20242492834622,0,0
1976,153351292500,9.04116980583333,5.79222069166667,1.347047335,4.27905273571429,0.314582929032258,24.7291999911907,0.460581891092739,17.39357475,0.670332388478242,4.91057652467514,5447.29885175,4553.85457925,417600486666.667,7.48365984583333,5.82131580833333,4.27905273571429,0.314582929032258,25.0464785545738,0.534321079554966,5447.29885175,4553.85457925,122.850763352424,9.21199431911967e-05,10.6806728944444,1.49509593847222,0,0
1977,153133792500,8.33700296333333,5.7279501,0.95738907,3.72405666071429,0.454808790322581,25.8760115944904,0.521245898894998,15.94578425,0.670648117391633,4.85268331602185,5473.7032825,4603.31284,416706757500,7.04192476,5.76493975833333,3.72405666071429,0.454808790322581,26.2438682113795,0.589964936032652,5473.7032825,4603.31284,123.865690388546,1.19045670282838e-05,11.0967196162162,1.302827573129,0,0
1978,152944260000,8.20703976083333,5.67349924166667,-0.0105867,5.25850089285714,0.461294677419355,32.1159882448504,0.550581434915288,17.08350375,0.731731005098871,4.53362373461718,5569.217754,4591.982679,415946606666.667,6.50757895916667,5.70290720833333,5.25850089285714,0.461294677419355,32.053848070663,0.624059025670828,5569.217754,4591.982679,148.001318707178,4.51119724995473e-08,11.0774228944444,1.35646619061111,0,0
1979,153408979166.667,9.13517708166667,5.59569968333333,1.481701415,8.79810971785714,0.332068790322581,36.3693970647333,0.498927653759848,16.56261625,0.8383366924413,3.94624749283439,5732.2199635,4671.0994735,417837439166.667,7.6263795075,5.64423864166667,8.79810971785714,0.332068790322581,36.3523408274034,0.603097599591937,5732.2199635,4671.0994735,156.406936992863,2.15863816073591e-08,9.97216324324324,2.36071372027027,0,46.1723150410959
