"Year","Volume_an_surf","Temp_an_surf","Sal_an_surf","Temp_win_surf","DIN_win_surf","DIP_win_surf","totN_an_surf","totP_an_surf","Temp_sum_surf","Chla_sum_surf","Secchi_sum","DOC_sum_surf","DOCter_sum_surf","Volume_an_tot","Temp_an_tot","Sal_an_tot","DIN_an_tot","DIP_an_tot","totN_an_tot","totP_an_tot","DOC_an_tot","DOCter_an_tot","PP_an","Nfix_an","AvOxy","Oxdebt","AnoxicArea","HypoxicArea"
1970,327571237500,6.1553792505,3.37670253333333,-0.183128995,5.7629397875,0.0800738935483871,18.6662799100081,0.140391864967043,13.71689095,0.0963839817741667,7.24355071084524,3844.9257315,3717.6855655,1434499266666.67,3.88978491975,3.490877425,5.7629397875,0.0800738935483871,18.7588501983329,0.158804668789421,3844.9257315,3717.6855655,5.319918271305,9.32557213253711e-09,12.3781259444444,0.97607075,0,0
1971,327138376666.667,5.24942996808333,3.40549679166667,-0.117264847,6.26818875785714,0.0750289903225806,18.9584205151143,0.134452096887174,11.8375299,0.06356057858475,7.34727011981105,3808.77959675,3682.330076,1432473266666.67,4.07845941833333,3.541258575,6.26818875785714,0.0750289903225806,18.9813082441307,0.150601108752603,3808.77959675,3682.330076,5.60535039902117,3.88890021010083e-09,12.836671027027,0.334872135405405,0,0
1972,327761854166.667,4.95313733416667,3.44401438333333,-0.16597492,6.40300701357143,0.064824285483871,19.1970348437704,0.132861896477471,10.964110975,0.110308929202875,7.29563595689889,3812.74361025,3688.89375,1435374483333.33,3.8459966025,3.56536816666667,6.40300701357143,0.064824285483871,19.1644294835731,0.147497486848068,3812.74361025,3688.89375,4.49655100984441,4.75861253673173e-09,12.9117116388889,0.2861818065,0,0
1973,327271081666.667,4.94151002166667,3.395861575,-0.17401715,6.90623478071429,0.0698490806451613,20.023610011244,0.141367467253418,11.1051048,0.151017157709167,7.26101433568132,3813.43931375,3690.98691,1433065241666.67,3.72157607666667,3.56295085833333,6.90623478071429,0.0698490806451613,19.7532440106818,0.158097631902387,3813.43931375,3690.98691,4.08261712065791,3.94245989143425e-09,12.8814750540541,0.364669148918919,0,0
1974,326452975000,5.0021259625,3.390191925,-0.14249937,7.37975437142857,0.0735971451612903,20.4499299691491,0.143564112288943,11.76399545,0.159893859068125,7.2647125018976,3811.1811575,3685.4460975,1429278166666.67,3.89282963416667,3.53844036666667,7.37975437142857,0.0735971451612903,20.2648418809029,0.164570779262027,3811.1811575,3685.4460975,5.25066885633448,5.71945374815076e-09,12.5913925833333,0.468875668611111,0,0
1975,327751560000,5.05682563166667,3.38714191666667,-0.172959615,8.00476517464286,0.0874028016129032,21.0570202510782,0.143850892776623,11.601337875,0.0790379884038333,7.3396547189416,3807.33575225,3676.65471,1435351383333.33,3.66138601833333,3.55642695,8.00476517464286,0.0874028016129032,20.9965473261578,0.167923621977607,3807.33575225,3676.65471,6.02383139251211,2.90839147077489e-09,12.9610794594595,0.356216933243243,0,0
1976,327672967500,5.265564805,3.32251781666667,-0.01554608,7.78592452714286,0.0680341725806452,20.4024629664447,0.131784723174582,12.31101275,0.0612918792649583,7.28489486396717,3838.7921585,3715.03543,1434960875000,3.3394720325,3.49142501666667,7.78592452714286,0.0680341725806452,20.5788973864311,0.15335033146511,3838.7921585,3715.03543,4.08832718661378,3.09458126868737e-09,12.9183463888889,0.348976370555556,0,0
1977,327075772500,4.58360756416667,3.25898269166667,-0.1685456,7.91917342821429,0.07032645,20.8262253172915,0.15263367782875,10.747745,0.210403907126292,7.16956426777065,3834.34420575,3702.6735075,1432167375000,3.09178172,3.44318244166667,7.91917342821429,0.07032645,20.6853647644322,0.16569766149912,3834.34420575,3702.6735075,5.46963208234413,1.65881454415683e-09,13.0361316756757,0.381505695945946,0,0
1978,326925054166.667,4.96613292158333,3.19327955833333,-0.1676158,8.0800755225,0.0775633435483871,20.4518158855646,0.13915128986826,11.204329275,0.139348825166958,7.30147007108697,3800.32638675,3678.4742825,1431485891666.67,3.74908763083333,3.395878975,8.0800755225,0.0775633435483871,20.5223141611431,0.166472317360893,3800.32638675,3678.4742825,4.16942555215053,8.71410400923163e-10,12.6346809166667,0.649001382777778,0,0
1979,327954165000,5.60833722858333,3.22649301666667,-0.15017544,8.00870132214286,0.0798615951612903,20.2335949555586,0.141750822542396,11.639275425,0.0755702849059167,7.43554124605169,3762.92117725,3632.9666075,1436278391666.67,4.06194938,3.3886823,8.00870132214286,0.0798615951612903,20.3293962228244,0.167008561472055,3762.92117725,3632.9666075,6.001784923852,3.06651590985107e-09,12.8376403513514,0.447701867837838,0,0
1980,327154649166.667,5.11806036416667,3.24513321666667,-0.015765835,7.8022284375,0.0763240451612903,20.1621626647355,0.141170619619441,11.8974793,0.117458358046683,7.38443453243154,3768.49989275,3637.705775,1432570033333.33,3.66734765416667,3.37260926666667,7.8022284375,0.0763240451612903,20.2025429626539,0.159002473187765,3768.49989275,3637.705775,5.25760420977961,3.94313710555946e-09,12.9841839444444,0.195886797722222,0,0
1981,327177057500,5.6578149485,3.271013275,-0.119175634,7.65644199,0.0695798758064516,20.5287099281983,0.145485272252706,12.588718675,0.163431136455167,7.35992239807791,3762.7929955,3624.581195,1432651183333.33,3.55656303666667,3.404534875,7.65644199,0.0695798758064516,20.483938766975,0.167417698423644,3762.7929955,3624.581195,5.53117937068057,6.75907206486789e-09,13.2806642162162,0.143215761486486,0,0
1982,328103246666.667,6.05652379375,3.19503865833333,0.066867125,8.08098567035714,0.0848930806451613,20.5681553177536,0.14685339208091,13.755730125,0.072202910814125,7.34797500924118,3805.44669425,3671.18825,1437028650000,4.0219777175,3.325044,8.08098567035714,0.0848930806451613,20.7827836388024,0.173515883729746,3805.44669425,3671.18825,5.72831199498063,2.17411944151375e-09,13.0390677777778,0.211691801694444,0,0
1983,327939481666.667,5.17615790816667,3.14130625833333,-0.135068525,8.23417022571429,0.0819593741935484,21.0542913335944,0.14593547539989,11.287919925,0.0668129084555833,7.37429076390189,3794.496341,3657.145895,1436199016666.67,3.91017047916667,3.28418634166667,8.23417022571429,0.0819593741935484,20.9525250916484,0.168145853286837,3794.496341,3657.145895,5.20026288011225,1.14647387462393e-09,12.9901777027027,0.28260431,0,0
1984,328134360000,5.40799322625,3.14370003333333,-0.140857425,8.54017079857143,0.07834295,21.4571880205056,0.147361550736888,11.198719425,0.0826954768027917,7.40203809165669,3776.52606225,3634.5118275,1437144933333.33,4.2906642125,3.30920081666667,8.54017079857143,0.07834295,21.269825913029,0.170033641891131,3776.52606225,3634.5118275,5.66596935162334,8.72373786318237e-10,12.7669176111111,0.382654456944444,0,0
1985,328526055833.333,5.05464609416667,3.14123758333333,0.35563668,8.44214879928571,0.0816432516129032,20.9357569708068,0.147071974392578,11.66268355,0.177885002852375,7.22519745652719,3822.275968,3682.03574,1439066108333.33,3.3760282625,3.28065428333333,8.44214879928571,0.0816432516129032,21.0612437566831,0.170633795781676,3822.275968,3682.03574,5.15207052658044,3.98106834745103e-09,13.0485443243243,0.179767353864865,0,0
1986,327933040000,5.4518200075,3.09384848333333,-0.163491045,8.42655441642857,0.0771390725806452,21.0979018517269,0.147260758385289,12.2664662,0.068530184931,7.27615315951028,3840.8018965,3697.50206,1436204491666.67,3.9280994325,3.28134116666667,8.42655441642857,0.0771390725806452,21.0667116131736,0.171835401562168,3840.8018965,3697.50206,5.48397020704466,2.8281625378366e-09,12.7225281111111,0.440412575555556,0,0
1987,327089120833.333,4.53284237,3.14079963333333,-0.15152922,8.58493825071429,0.0794759548387097,21.3990022007199,0.155033723749279,10.7500417,0.191169142315125,7.24784968296361,3806.4423295,3653.6028875,1432205241666.67,3.5101573425,3.30726251666667,8.58493825071429,0.0794759548387097,21.3402932345302,0.181765314626547,3806.4423295,3653.6028875,5.28302291679845,1.35010065401378e-09,12.7834476216216,0.441034147297297,0,0
1988,327159150000,5.99536166916667,3.17146461666667,-0.150657215,8.681761125,0.0874827822580645,21.6593033109422,0.15362448015107,13.33739435,0.082699441632925,7.41408254617687,3769.20373225,3612.2821205,1432544441666.67,4.22397678916667,3.35307785,8.681761125,0.0874827822580645,21.5889793429518,0.186193907226396,3769.20373225,3612.2821205,5.79212437604147,4.30823156471284e-09,12.6293122162162,0.505763452162162,0,0
1989,326971326666.667,6.14450309541667,3.26951953333333,0.62426229,8.72434716392857,0.0909216903225806,21.8811306487736,0.161294119148395,12.795820575,0.127657339981167,7.40532476213785,3755.81922,3583.2380485,1431664775000,4.48484718166667,3.38873360833333,8.72434716392857,0.0909216903225806,21.8425134439253,0.186562089622189,3755.81922,3583.2380485,7.28449848718099,3.82200832744546e-09,12.8931739444444,0.170918291469583,0,0
1990,328052582500,5.32795733416667,3.23182585833333,0.014301075,8.61848498857143,0.0882256967741935,21.4317646562948,0.155162999365061,11.295518275,0.158201753039958,7.19851278658737,3842.0453875,3678.750375,1436741975000,3.77146567583333,3.379897875,8.61848498857143,0.0882256967741935,21.5795273579072,0.181254055217966,3842.0453875,3678.750375,4.92866537166603,2.1119875327157e-09,12.9652632702703,0.303840729189189,0,0
1991,328294347500,5.30463132166667,3.1991462,0.119752505,8.3522377925,0.082369735483871,20.8460683968358,0.15271125377341,11.62749675,0.16609979176375,7.2025401349081,3839.57287775,3669.6016025,1437931400000,3.8373186275,3.31315969166667,8.3522377925,0.082369735483871,20.9692962611528,0.174467146281119,3839.57287775,3669.6016025,6.02103528463923,1.47142766321789e-09,13.0267241944444,0.169554494944444,0,0
1992,327299687500,5.77687456666667,3.16222658333333,-0.02696627,8.35113459,0.0773344258064516,21.0375932140179,0.149763200931611,13.0757145,0.095581081509875,7.20868792575953,3863.740341,3696.98854,1433209725000,3.82361871583333,3.31422904166667,8.35113459,0.0773344258064516,21.2328700934126,0.178813588504663,3863.740341,3696.98854,6.5761569931535,4.94638068813840e-09,13.0199565945946,0.229734724594595,0,0
1993,327515145000,5.21146345666667,3.21076775,0.22139647,8.42524009178571,0.0767310016129032,21.4620256349893,0.162156676599223,10.65888745,0.216170900924333,7.17845319357574,3832.6487345,3640.522435,1434220458333.33,4.04344518666667,3.3246867,8.42524009178571,0.0767310016129032,21.5580689285849,0.185682279710059,3832.6487345,3640.522435,6.74388565051208,8.7678440544305e-10,13.1363608888889,0.147866768594444,0,0
1994,327160411666.667,6.06135311711667,3.20011074166667,0.3440336427,8.23282219392857,0.0825727274193548,21.0183499958683,0.150903676871651,12.87459065,0.0483648509507042,7.32334720537814,3823.66288725,3638.4796925,1.432572e+12,4.11943198916667,3.306760575,8.23282219392857,0.0825727274193548,21.1520150152297,0.175275919589354,3823.66288725,3638.4796925,6.01143929844907,3.45380596215485e-09,13.1511869189189,0.0663397714272973,0,0
1995,327295104166.667,5.10678400283333,3.185587075,-0.012814758,8.0331848075,0.0742246193548387,20.9147860986618,0.155552960770565,11.35527205,0.11491683193575,7.2260912135446,3847.817303,3662.49506,1433181866666.67,3.82660632916667,3.31360679166667,8.0331848075,0.0742246193548387,21.0223984644877,0.180969871226966,3847.817303,3662.49506,5.19430842365124,2.23480941274417e-09,12.9501903888889,0.212824280944444,0,0
1996,327344716666.667,5.8208800595,3.129326625,-0.147683545,8.12390489392857,0.0832273467741936,20.7642120916214,0.150175849742439,13.107277075,0.0606807181821208,7.31801128954729,3822.686809,3644.079556,1433423408333.33,3.9959351775,3.30926786666667,8.12390489392857,0.0832273467741936,20.9119285152611,0.185141686523196,3822.686809,3644.079556,5.2800907033862,2.35666812810217e-09,12.626231027027,0.477654578378378,0,0
1997,328637069166.667,6.18632388425,3.1377705,-0.030065935,7.9645497225,0.0782747564516129,20.2019399947677,0.152662184137748,13.48233575,0.0630231664710917,7.23093499296984,3863.7208625,3672.0475925,1439598241666.67,4.10472020583333,3.26909566666667,7.9645497225,0.0782747564516129,20.4911803573353,0.181263722213054,3863.7208625,3672.0475925,5.5227903071126,4.14043950916202e-09,12.9922148055556,0.260241616083333,0,0
1998,326666136666.667,6.20606601916667,3.121431025,0.156716015,7.84218551035714,0.078175614516129,20.8190055197784,0.158853019360723,13.846962625,0.0563140093344833,7.33213023237692,3816.9067145,3618.3179765,1430243316666.67,4.693683395,3.22361963333333,7.84218551035714,0.078175614516129,20.7638647533702,0.182005818200813,3816.9067145,3618.3179765,6.03047381586811,2.16790013069562e-09,12.8502925675676,0.234849197675676,0,0
1999,326949041666.667,5.75495045416667,3.13985990833333,-0.148353085,8.44523570535714,0.0899933887096774,21.6543937349723,0.165348386235992,12.38866655,0.168777553874042,7.22926177579276,3825.50280275,3626.28569925,1431555050000,4.09446607583333,3.28359275,8.44523570535714,0.0899933887096774,21.7093624894453,0.199310516271401,3825.50280275,3626.28569925,5.9469165578296,3.83310788007522e-09,12.8487825,0.421135761944444,0,0
2000,327817425000,6.90749727333333,3.17132885,1.0464942,8.40077993464286,0.0866087338709677,21.7258518641389,0.165878775982846,13.3268571,0.0914475856328667,7.20893739495323,3865.77261125,3644.69173,1435676533333.33,5.2591730275,3.23445815,8.40077993464286,0.0866087338709677,21.8100694939462,0.186630037845326,3865.77261125,3644.69173,7.80161851208044,6.54985381676356e-10,12.9407172972973,0.0754341710451351,0,0
2001,326808492500,5.83372695458333,3.115608,0.19958536,8.72733461678571,0.0781353403225807,22.3475769278161,0.160186663985445,12.764218775,0.0759937902546333,7.19837693199146,3871.7689645,3659.73667,1430913966666.67,4.10500996416667,3.23663295833333,8.72733461678571,0.0781353403225807,22.3696920438438,0.188061470980674,3871.7689645,3659.73667,5.06307546657585,3.12326760819957e-09,12.9341696388889,0.216473978777778,0,0
2002,327539038333.333,5.54712886108333,3.1352089,-0.020442945,9.07035096107143,0.0854263,22.2092404519431,0.15948380697102,12.32180595,0.0536406999450833,7.20077415112712,3879.457594,3661.3316225,1434328925000,3.9941299975,3.269696,9.07035096107143,0.0854263,22.3661818958152,0.190038918625523,3879.457594,3661.3316225,5.70495709650039,2.09219959899748e-09,12.9816392702703,0.234601363486486,0,0
2003,326942040833.333,6.24830623983333,3.11881603333333,-0.1297219635,8.70512254428571,0.073829114516129,21.9295022660624,0.154501858607084,13.52334375,0.055322410830375,7.21921968162773,3870.22758975,3653.9164305,1431588575000,4.54483434833333,3.268274975,8.70512254428571,0.073829114516129,22.032110220811,0.190819254475101,3870.22758975,3653.9164305,4.17755612745104,1.62443840492713e-09,12.6202874722222,0.390232268055555,0,0
2004,327225737500,5.618860485,3.06682380833333,-0.134327115,8.78864663464286,0.0876570403225806,21.7048524544646,0.16155551438146,12.90625325,0.0539587067895417,7.07135196436202,3935.88533575,3718.5917875,1432859066666.67,3.83058721833333,3.22289748333333,8.78864663464286,0.0876570403225806,21.8759486651807,0.198276701763301,3935.88533575,3718.5917875,5.59515059965502,2.48339446471912e-09,12.7676365675676,0.392198337027027,0,0
2005,327040345000,5.46537313633333,3.06645135,-0.158335,8.70621115642857,0.083261935483871,22.2087396241047,0.166400181904392,12.66421355,0.0780185151580792,7.11663656773244,3912.40008675,3682.0071625,1431988916666.67,3.684338755,3.22631485,8.70621115642857,0.083261935483871,22.1830860858731,0.201052911432815,3912.40008675,3682.0071625,5.84524993396115,2.58920762303425e-09,12.9018423055556,0.385507951666667,0,0
2006,327454801666.667,6.44117105291667,3.088926525,-0.0849915725,8.86514094071429,0.0841341419354839,22.1762473743852,0.1687009892095,14.44301025,0.0451295197439125,7.10966059916498,3920.206961,3683.53712,1433929083333.33,4.31320478583333,3.21966093333333,8.86514094071429,0.0841341419354839,22.3275107126251,0.204875105823737,3920.206961,3683.53712,4.91326365839103,1.74079533874264e-09,12.9025077567568,0.287939809189189,0,0
2007,327304310000,6.03864262658333,3.04373091666667,-0.146401905,9.17075749035714,0.098952935483871,22.3562232051236,0.172286144329819,13.650541725,0.0615801318226792,7.107298938086,3919.52327125,3683.9953375,1433234983333.33,4.1129325525,3.19591275,9.17075749035714,0.098952935483871,22.4092918590419,0.20996121790502,3919.52327125,3683.9953375,6.04644644959301,2.14211816245163e-09,12.6169536666667,0.421830591111111,0,0
2008,327018348333.333,6.53468278416667,3.05578745833333,-0.023535345,8.98859297571429,0.0892486306451613,22.5615509291064,0.171282959875246,13.595603,0.052203115967275,7.14072321282744,3906.07578025,3658.93570125,1431928425000,4.83961007083333,3.21053045,8.98859297571429,0.0892486306451613,22.5351061629147,0.209727057371749,3906.07578025,3658.93570125,5.84917664458392,1.45815220370071e-09,12.5585502972973,0.422301755135135,0,0
2009,327680919166.667,6.579486182,3.06723036666667,0.598205952,8.85956280214286,0.100729453225806,21.6877364302736,0.173008769070365,13.83825,0.100772356518708,6.9729438239613,3969.57701825,3718.77552,1435038958333.33,4.44569841166667,3.15551633333333,8.85956280214286,0.100729453225806,22.0178367949359,0.201741416868579,3969.57701825,3718.77552,5.9689434019662,1.659322292595e-09,13.0578642702703,0.0780069434,0,0
2010,327156038333.333,6.89662051225,3.00617161666667,0.474878845,8.43395763678572,0.0810804322580645,21.448218005884,0.165007832769153,14.394980225,0.0623830556221708,7.01735161887988,3958.46367925,3717.06170425,1432529300000,4.72599024416667,3.15153204166667,8.43395763678572,0.0810804322580645,21.6600081443395,0.200412894248335,3958.46367925,3717.06170425,4.91374246401905,2.45920556294710e-09,12.7008223333333,0.358095743611111,0,0
2011,328281858333.333,6.50456924266667,2.99334006666667,1.02101985,8.42263920571429,0.0936721919354839,21.3916554481397,0.170178928551743,13.86461725,0.03868738238495,7.01751506004841,3962.06296225,3712.8178775,1437843841666.67,4.93599988333334,3.1348023,8.42263920571429,0.0936721919354839,21.5373490902603,0.203828575855153,3962.06296225,3712.8178775,5.78588995965014,2.59214140876663e-09,12.5761540540541,0.339296347837838,0,0
2012,328003130000,5.62678870191667,2.96989029166667,-0.0410220335,8.5895556875,0.0882866419354839,22.2477419621091,0.181583949564991,12.358746425,0.118687825545792,6.9390793118687,3980.467084,3721.914485,1436548791666.67,4.06137161833333,3.15974090833333,8.5895556875,0.0882866419354839,22.1623497874224,0.224879072446397,3980.467084,3721.914485,6.04392130584687,2.6150919888985e-09,12.5869188888889,0.450076194722222,0,0
2013,327584248333.333,6.4676769525,2.954476125,0.08367442,8.91643340928571,0.103868838709677,22.053789394468,0.185003817994095,13.79697425,0.0797984422893667,6.95396749415642,3982.68645475,3720.60726525,1434657691666.67,4.84566011666667,3.15244399166667,8.91643340928571,0.103868838709677,22.1627704268982,0.226636824622535,3982.68645475,3720.60726525,6.02182798429349,3.07829123356408e-09,12.4089438648649,0.528508814054054,0,0
2014,328628986666.667,7.00772446333333,3.02405933333333,0.806443,8.47749311071429,0.108778990322581,21.0114403237867,0.181495429134297,13.91064945,0.0458502388874292,6.88965055316294,4015.44306975,3741.5546475,1439552691666.67,4.78305817333333,3.097801225,8.47749311071429,0.108778990322581,21.429674798028,0.211870880839921,4015.44306975,3741.5546475,6.37909339632095,1.92337939319397e-09,13.2432683055556,0.0408277238105556,0,0
2015,326705805000,6.47833937366667,2.90961884166667,0.75909302,8.18314585214286,0.0905998032258064,21.4397486656251,0.177643330230177,13.7243915,0.117111154325208,6.86522258833473,4014.493464,3749.16232,1430434233333.33,4.5227211,3.030481375,8.18314585214286,0.0905998032258064,21.4596442918676,0.212166986167204,4014.493464,3749.16232,5.98685052792185,3.58752868822964e-09,12.738764027027,0.256642692837838,0,0
